Player,Squad,League,Nation,Primary_Pos,Age_Years,MP,Min,Gls,Ast,G+A,Gls_p90,Ast_p90,GA_p90,Sh_p90,SoT_p90,Int_p90,Crs_p90,Fld_p90,G_Sh,CrdY,CrdR,Attacker_Index,Creator_Index,Defensive_Index,Overall_Index,Archetype_V2,Hidden_Gem,WC_Watchlist_V2
Kristoffer Ajer,Brentford,Premier League,NOR,DF,28.0,26,1729,0,1,1,0.0,0.0520833333333333,0.0520833333333333,0.5208333333333334,0.15625,0.0520833333333333,0.3645833333333333,0.2604166666666667,0.0,4.0,0.0,28.8,52.2,23.3,25.3,Defensive Anchor,False,False
Eberechi Eze,Arsenal,Premier League,ENG,MF,27.0,30,1724,7,2,9,0.3645833333333333,0.1041666666666666,0.46875,2.96875,0.9375,0.0520833333333333,0.4166666666666667,1.9791666666666667,0.12,1.0,0.0,82.4,51.5,59.1,59.0,Deep-Lying Creator,False,False
Zion Suzuki,Parma,Serie A,JPN,GK,23.0,19,1710,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105263157894736,0.0,1.0,0.0,0.0,0.0,23.3,13.1,Goalkeeper,False,False
Rayan Cherki,Manchester City,Premier League,FRA,MF,22.0,30,1706,4,11,15,0.2105263157894736,0.5789473684210527,0.7894736842105263,2.8947368421052637,0.6842105263157895,0.0,4.2105263157894735,1.7894736842105263,0.07,1.0,0.0,58.9,89.7,36.0,82.0,Advanced Playmaker,True,True
Jobe Bellingham,Dortmund,Bundesliga,ENG,MF,20.0,31,1704,0,1,1,0.0,0.0529100529100529,0.0529100529100529,1.0052910052910051,0.3174603174603175,0.2116402116402116,0.2645502645502646,1.0582010582010584,0.0,2.0,1.0,12.7,15.8,92.7,20.9,Ball-Winning Midfielder,False,False
Dayot Upamecano,Bayern Munich,Bundesliga,FRA,DF,27.0,23,1704,1,1,2,0.0529100529100529,0.0529100529100529,0.1058201058201058,0.4232804232804233,0.1058201058201058,0.1058201058201058,0.3703703703703704,0.2645502645502646,0.13,4.0,0.0,40.0,52.9,50.3,74.0,Defensive Anchor,False,True
Julio Enciso,Strasbourg,Ligue 1,PAR,MF,22.0,25,1703,3,2,5,0.1587301587301587,0.1058201058201058,0.2645502645502646,3.227513227513228,1.1640211640211642,0.0,3.227513227513228,1.6402116402116402,0.03,2.0,0.0,54.0,55.1,31.8,48.9,Winger,False,False
Lucas Hernández,Paris Saint-Germain,Ligue 1,FRA,DF,30.0,24,1687,0,3,3,0.0,0.160427807486631,0.160427807486631,0.5882352941176471,0.160427807486631,0.106951871657754,0.8556149732620321,1.0160427807486632,0.0,4.0,0.0,31.1,76.4,67.7,58.8,Defensive Anchor,False,False
Piero Hincapié,Arsenal,Premier League,ECU,DF,24.0,23,1683,1,2,3,0.053475935828877,0.106951871657754,0.160427807486631,0.160427807486631,0.106951871657754,0.106951871657754,1.7647058823529411,0.7486631016042781,0.33,2.0,0.0,38.4,76.4,70.6,61.9,Overlapping Fullback,False,False
Kwasi Sibo,Oviedo,La Liga,GHA,MF,27.0,26,1681,0,0,0,0.0,0.0,0.0,0.4812834224598931,0.106951871657754,0.053475935828877,0.106951871657754,0.213903743315508,0.0,3.0,1.0,6.0,3.8,50.2,8.6,Deep-Lying Creator,False,False
Nico Williams,Athletic Club,La Liga,ESP,MF,23.0,25,1674,6,3,9,0.3225806451612903,0.1612903225806451,0.4838709677419354,2.4731182795698925,0.8602150537634408,0.0,4.086021505376344,1.5591397849462365,0.11,2.0,0.0,76.8,71.8,31.8,80.0,Winger,True,True
Timothy Castagne,Fulham,Premier League,BEL,DF,30.0,28,1665,0,0,0,0.0,0.0,0.0,0.7567567567567568,0.3243243243243243,0.1081081081081081,2.5945945945945947,0.5945945945945946,0.0,4.0,0.0,37.5,55.4,61.9,53.6,Overlapping Fullback,False,False
Jeremy Doku,Manchester City,Premier League,BEL,MF,23.0,27,1662,5,5,10,0.2702702702702703,0.2702702702702703,0.5405405405405406,2.108108108108108,0.8108108108108109,0.054054054054054,3.3513513513513518,3.2972972972972974,0.13,0.0,0.0,77.5,84.0,62.2,74.0,Box-to-Box Midfielder,True,False
Ozan Kabak,Hoffenheim,Bundesliga,TUR,DF,26.0,24,1661,4,0,4,0.2162162162162162,0.0,0.2162162162162162,1.891891891891892,0.6486486486486487,0.1081081081081081,0.1081081081081081,0.4324324324324324,0.11,5.0,0.0,98.0,23.9,52.9,52.8,Defensive Anchor,False,False
Kristijan Jakić,Augsburg,Bundesliga,CRO,MF,28.0,26,1653,2,1,3,0.108695652173913,0.0543478260869565,0.1630434782608695,0.9782608695652176,0.3260869565217391,0.0543478260869565,0.2173913043478261,0.923913043478261,0.11,5.0,0.0,42.3,19.3,42.7,27.6,Deep-Lying Creator,False,False
Hicham Boudaoui,Nice,Ligue 1,ALG,MF,26.0,24,1649,1,2,3,0.0546448087431694,0.1092896174863388,0.1639344262295081,1.147540983606557,0.4918032786885246,0.0546448087431694,1.0382513661202186,2.185792349726776,0.05,5.0,0.0,28.3,43.4,43.1,35.4,Deep-Lying Creator,False,False
Bradley Barcola,Paris Saint-Germain,Ligue 1,FRA,FW,23.0,27,1641,10,1,11,0.5494505494505495,0.0549450549450549,0.6043956043956045,3.6263736263736255,1.6483516483516485,0.0549450549450549,1.4285714285714286,0.5494505494505495,0.17,2.0,0.0,62.3,37.2,51.9,53.9,Winger,False,False
Hakan Çalhanoğlu,Inter,Serie A,TUR,MF,32.0,22,1639,9,4,13,0.4945054945054945,0.2197802197802197,0.7142857142857143,2.7472527472527477,0.934065934065934,0.0549450549450549,4.725274725274725,0.6043956043956045,0.1,7.0,0.0,81.4,74.0,38.3,67.9,Winger,False,False
Rodrigo Bentancur,Tottenham Hotspur,Premier League,URU,MF,28.0,23,1632,1,1,2,0.0552486187845303,0.0552486187845303,0.1104972375690607,0.718232044198895,0.1657458563535911,0.1657458563535911,0.3867403314917126,0.4419889502762431,0.08,7.0,0.0,22.7,15.5,72.1,22.0,Ball-Winning Midfielder,False,False
Yuito Suzuki,Freiburg,Bundesliga,JPN,MF,24.0,25,1632,4,2,6,0.2209944751381215,0.1104972375690607,0.3314917127071823,2.0994475138121547,0.7734806629834253,0.0552486187845303,1.160220994475138,0.5524861878453038,0.11,3.0,0.0,69.3,40.6,52.2,48.1,Deep-Lying Creator,False,False
Jesus Rodríguez,Como,Serie A,ESP,MF,20.0,29,1630,1,7,8,0.0552486187845303,0.3867403314917126,0.4419889502762431,2.486187845303867,0.6629834254143646,0.0,3.149171270718232,1.7679558011049723,0.04,3.0,1.0,32.1,79.8,26.6,53.7,Advanced Playmaker,False,False
Bilal El Khannouss,Stuttgart,Bundesliga,MAR,MF,22.0,25,1630,4,5,9,0.2209944751381215,0.2762430939226519,0.4972375690607734,2.320441988950276,0.8287292817679557,0.0552486187845303,3.591160220994475,0.4972375690607734,0.1,6.0,0.0,68.0,71.7,41.1,62.5,Box-to-Box Midfielder,False,False
Patrick Wimmer,Wolfsburg,Bundesliga,AUT,MF,24.0,25,1621,4,3,7,0.2222222222222222,0.1666666666666666,0.3888888888888889,1.3333333333333333,0.4444444444444444,0.1111111111111111,1.3888888888888888,1.8333333333333333,0.17,4.0,0.0,67.3,59.2,75.9,59.1,Deep-Lying Creator,False,False
Malik Tillman,Leverkusen,Bundesliga,USA,MF,23.0,28,1613,6,1,7,0.335195530726257,0.0558659217877095,0.3910614525139665,1.8994413407821231,0.7262569832402235,0.0558659217877095,1.005586592178771,1.6201117318435756,0.18,2.0,0.0,82.6,41.7,58.1,53.5,Deep-Lying Creator,False,False
Frenkie de Jong,Barcelona,La Liga,NED,MF,28.0,24,1607,1,5,6,0.0558659217877095,0.2793296089385475,0.335195530726257,0.3910614525139665,0.111731843575419,0.0558659217877095,0.2793296089385475,1.452513966480447,0.14,4.0,1.0,31.2,55.8,48.3,80.0,Deep-Lying Creator,False,True
Petar Sucic,Inter,Serie A,CRO,MF,22.0,32,1602,2,2,4,0.1123595505617977,0.1123595505617977,0.2247191011235955,1.2359550561797752,0.3370786516853932,0.0,2.415730337078652,1.4044943820224718,0.09,5.0,0.0,39.1,49.4,18.4,39.6,Deep-Lying Creator,False,False
Kim Min-jae,Bayern Munich,Bundesliga,KOR,DF,29.0,25,1602,1,1,2,0.0561797752808988,0.0561797752808988,0.1123595505617977,0.2808988764044943,0.1685393258426966,0.1685393258426966,0.0561797752808988,0.1685393258426966,0.2,1.0,0.0,40.0,37.7,71.8,78.0,Ball-Winning Defender,False,True
Tyler Adams,Bournemouth,Premier League,USA,MF,27.0,23,1593,2,2,4,0.1129943502824858,0.1129943502824858,0.2259887005649717,0.5649717514124294,0.3389830508474576,0.1694915254237288,0.1694915254237288,0.7344632768361582,0.2,8.0,0.0,52.0,30.3,70.5,38.8,Ball-Winning Midfielder,False,False
Aurele Amenda,Eintracht Frankfurt,Bundesliga,SUI,DF,22.0,23,1588,0,0,0,0.0,0.0,0.0,0.5681818181818181,0.1136363636363636,0.1136363636363636,0.3409090909090909,0.7386363636363635,0.0,5.0,0.0,30.2,33.0,60.5,49.3,Defensive Anchor,False,False
Marcus Rashford,Barcelona,La Liga,ENG,MF,28.0,30,1583,8,7,15,0.4545454545454545,0.3977272727272727,0.8522727272727272,4.3181818181818175,1.6477272727272725,0.0,6.874999999999999,1.4204545454545454,0.11,3.0,0.0,87.7,89.7,26.6,76.5,Winger,False,True
Noah Okafor,Leeds United,Premier League,SUI,FW,25.0,28,1561,8,1,9,0.4624277456647399,0.0578034682080924,0.5202312138728323,2.0231213872832368,0.8670520231213873,0.0578034682080924,2.0809248554913293,0.8092485549132947,0.23,3.0,0.0,43.3,35.7,58.3,39.7,Target Forward,False,False
Tijjani Reijnders,Manchester City,Premier League,NED,MF,27.0,27,1555,5,2,7,0.2890173410404624,0.1156069364161849,0.4046242774566473,2.832369942196532,0.9248554913294798,0.0578034682080924,2.485549132947977,0.8670520231213873,0.1,2.0,0.0,74.6,54.3,58.6,80.0,Deep-Lying Creator,False,True
Christian Pulisic,Milan,Serie A,USA,FW,27.0,28,1549,8,3,11,0.4651162790697674,0.1744186046511628,0.6395348837209303,3.1395348837209305,1.4534883720930234,0.0,2.1511627906976747,1.3372093023255816,0.15,0.0,0.0,50.6,60.6,40.6,47.6,Winger,False,False
Hjalmar Ekdal,Burnley,Premier League,SWE,DF,27.0,19,1539,0,0,0,0.0,0.0,0.0,0.3508771929824561,0.0584795321637426,0.0584795321637426,0.0584795321637426,0.4093567251461988,0.0,0.0,0.0,20.7,19.2,38.3,31.1,Defensive Anchor,False,False
Jefferson Lerma,Crystal Palace,Premier League,COL,MF,31.0,28,1536,0,2,2,0.0,0.1169590643274853,0.1169590643274853,1.111111111111111,0.4093567251461988,0.1169590643274853,0.7017543859649122,1.4035087719298245,0.0,7.0,0.0,15.7,35.7,68.0,29.5,Deep-Lying Creator,False,False
Jackson Irvine,St Pauli,Bundesliga,AUS,MF,33.0,23,1535,0,1,1,0.0,0.0584795321637426,0.0584795321637426,1.111111111111111,0.2339181286549707,0.1169590643274853,0.7602339181286549,0.7017543859649122,0.0,2.0,1.0,9.8,18.3,86.5,20.4,Deep-Lying Creator,False,False
Ramy Bensebaini,Dortmund,Bundesliga,ALG,DF,31.0,21,1530,5,2,7,0.2941176470588235,0.1176470588235294,0.4117647058823529,1.0,0.4117647058823529,0.0588235294117647,0.6470588235294118,0.9411764705882352,0.18,6.0,0.0,96.2,68.5,31.5,41.4,Defensive Anchor,False,False
Chemsdine Talbi,Sunderland,Premier League,MAR,MF,21.0,27,1530,4,1,5,0.2352941176470588,0.0588235294117647,0.2941176470588235,1.4705882352941178,0.5882352941176471,0.0,2.9411764705882355,0.0588235294117647,0.16,0.0,0.0,72.5,37.4,38.2,45.9,Winger,False,False
Lucas Paquetá,West Ham United,Premier League,BRA,MF,28.0,18,1511,4,1,5,0.238095238095238,0.0595238095238095,0.2976190476190476,1.369047619047619,0.6547619047619048,0.0,2.142857142857143,1.7857142857142856,0.09,7.0,1.0,64.6,44.6,13.3,44.6,Deep-Lying Creator,False,False
Josué Casimir,Auxerre,Ligue 1,HAI,MF,24.0,30,1503,1,0,1,0.059880239520958,0.0,0.059880239520958,1.3173652694610778,0.718562874251497,0.059880239520958,3.2335329341317367,1.916167664670659,0.05,6.0,1.0,35.1,34.3,42.7,32.6,Winger,False,False
Luis Henrique,Inter,Serie A,BRA,MF,24.0,28,1497,1,2,3,0.0602409638554216,0.1204819277108433,0.180722891566265,0.9036144578313252,0.4216867469879518,0.0,2.3493975903614457,0.0,0.07,1.0,0.0,30.6,39.3,36.0,33.0,Deep-Lying Creator,False,False
Carl Starfelt,Celta Vigo,La Liga,SWE,DF,30.0,19,1491,0,0,0,0.0,0.0,0.0,0.2409638554216867,0.0602409638554216,0.0602409638554216,0.0,0.4819277108433734,0.0,3.0,1.0,16.0,13.2,34.5,27.2,Defensive Anchor,False,False
Ngal'Ayel Mukau,Lille,Ligue 1,COD,MF,21.0,29,1489,1,0,1,0.0606060606060606,0.0,0.0606060606060606,1.2121212121212122,0.303030303030303,0.0606060606060606,0.303030303030303,1.393939393939394,0.05,3.0,0.0,22.9,14.9,54.3,19.9,Deep-Lying Creator,False,False
Lee Kang-in,Paris Saint-Germain,Ligue 1,KOR,MF,25.0,26,1486,3,4,7,0.1818181818181818,0.2424242424242424,0.4242424242424242,2.242424242424242,0.9090909090909092,0.0,6.848484848484849,1.1515151515151516,0.08,3.0,0.0,61.5,77.0,26.6,61.2,Winger,False,False
Igor Matanovic,Freiburg,Bundesliga,CRO,FW,23.0,30,1486,10,1,11,0.6060606060606061,0.0606060606060606,0.6666666666666666,3.090909090909091,1.1515151515151516,0.0,0.0,1.3333333333333333,0.2,0.0,0.0,57.1,27.4,39.7,47.6,Pure Goal Scorer,False,False
Kobbie Mainoo,Manchester Utd,Premier League,ENG,MF,21.0,26,1482,1,2,3,0.0606060606060606,0.1212121212121212,0.1818181818181818,0.7878787878787878,0.1818181818181818,0.0606060606060606,0.7878787878787878,1.3333333333333333,0.08,2.0,0.0,24.2,39.2,59.5,33.1,Deep-Lying Creator,False,False
Aleksandar Pavlovic,Bayern Munich,Bundesliga,GER,MF,22.0,24,1462,3,1,4,0.1851851851851852,0.0617283950617284,0.2469135802469136,0.617283950617284,0.308641975308642,0.0617283950617284,0.925925925925926,0.617283950617284,0.3,2.0,0.0,60.7,28.3,60.6,39.3,Deep-Lying Creator,False,False
Ricardo Rodríguez,Real Betis,La Liga,SUI,DF,33.0,22,1457,0,1,1,0.0,0.0617283950617284,0.0617283950617284,0.1851851851851852,0.0,0.0,0.925925925925926,0.308641975308642,0.0,0.0,0.0,14.3,64.7,29.3,28.1,Defensive Anchor,False,False
Pascal Groß,Brighton,Premier League,GER,MF,34.0,17,1456,1,3,4,0.0617283950617284,0.1851851851851852,0.2469135802469136,1.1111111111111112,0.5555555555555556,0.0617283950617284,7.34567901234568,0.7407407407407408,0.06,2.0,0.0,33.9,61.7,60.6,47.6,Winger,False,False
Ruben Vargas,Sevilla,La Liga,SUI,MF,27.0,21,1448,3,5,8,0.186335403726708,0.3105590062111801,0.4968944099378881,2.5465838509316767,0.4968944099378881,0.0,5.590062111801242,1.0559006211180124,0.05,2.0,0.0,47.7,80.2,31.8,58.6,Box-to-Box Midfielder,False,False
Takefusa Kubo,Real Sociedad,La Liga,JPN,MF,24.0,23,1447,2,4,6,0.124223602484472,0.248447204968944,0.3726708074534161,1.7391304347826086,0.7453416149068323,0.062111801242236,2.422360248447205,3.167701863354037,0.07,2.0,0.0,49.1,73.9,61.1,58.6,Winger,False,False
Alex Baena,Atlético Madrid,La Liga,ESP,MF,24.0,25,1440,2,3,5,0.125,0.1875,0.3125,1.8125,0.4375,0.0625,7.3125,1.8125,0.07,5.0,0.0,41.1,72.2,48.2,54.0,Winger,False,False
Azzedine Ounahi,Girona,La Liga,MAR,MF,26.0,20,1431,5,2,7,0.3144654088050314,0.1257861635220125,0.440251572327044,3.2075471698113205,1.1949685534591197,0.0628930817610062,2.5786163522012577,3.962264150943396,0.08,6.0,0.0,75.0,68.1,46.1,62.5,Winger,False,False
Rodri,Manchester City,Premier League,ESP,MF,29.0,20,1421,1,0,1,0.0632911392405063,0.0,0.0632911392405063,1.0126582278481011,0.1898734177215189,0.0632911392405063,0.3164556962025316,1.962025316455696,0.06,3.0,0.0,21.5,19.3,57.7,85.0,Ball-Winning Midfielder,False,True
Ermedin Demirović,Stuttgart,Bundesliga,BIH,FW,28.0,24,1412,12,3,15,0.7643312101910829,0.1910828025477707,0.9554140127388536,2.6114649681528666,1.4012738853503186,0.0,0.0636942675159235,1.6560509554140128,0.27,5.0,0.0,73.3,56.0,46.7,63.4,Pure Goal Scorer,False,False
Martin Baturina,Como,Serie A,CRO,MF,23.0,27,1406,6,3,9,0.3846153846153846,0.1923076923076923,0.576923076923077,1.794871794871795,0.576923076923077,0.0,4.935897435897436,2.8205128205128207,0.21,0.0,0.0,83.0,82.3,38.2,71.4,Winger,False,False
Jørgen Strand Larsen,Wolves,Premier League,NOR,FW,26.0,22,1404,1,1,2,0.0641025641025641,0.0641025641025641,0.1282051282051282,1.3461538461538465,0.4487179487179487,0.0,0.1923076923076923,0.7051282051282052,0.0,2.0,0.0,4.9,16.8,23.9,7.0,Target Forward,False,False
Antonio Rüdiger,Real Madrid,La Liga,GER,DF,33.0,17,1400,1,0,1,0.0641025641025641,0.0,0.0641025641025641,0.8333333333333334,0.0641025641025641,0.0,0.1282051282051282,0.1282051282051282,0.08,0.0,0.0,68.8,24.5,26.2,29.6,Defensive Anchor,False,False
Nayef Aguerd,Marseille,Ligue 1,MAR,DF,30.0,16,1396,1,0,1,0.064516129032258,0.0,0.064516129032258,0.6451612903225806,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.3870967741935484,0.1,4.0,0.0,60.1,25.0,59.9,71.0,Defensive Anchor,False,False
Achraf Hakimi,Paris Saint-Germain,Ligue 1,MAR,DF,27.0,18,1375,2,2,4,0.130718954248366,0.130718954248366,0.261437908496732,1.7647058823529411,0.5882352941176471,0.065359477124183,2.810457516339869,1.1111111111111112,0.07,3.0,1.0,92.9,85.1,48.9,80.0,Overlapping Fullback,False,True
Lyle Foster,Burnley,Premier League,RSA,FW,25.0,26,1371,3,2,5,0.1973684210526315,0.131578947368421,0.3289473684210526,1.3157894736842106,0.3947368421052631,0.0,0.3947368421052631,0.8552631578947368,0.15,4.0,0.0,17.1,31.2,29.4,18.1,Target Forward,False,False
Habib Diarra,Sunderland,Premier League,SEN,MF,22.0,18,1361,2,1,3,0.1324503311258278,0.0662251655629139,0.1986754966887417,1.7218543046357615,0.5298013245033113,0.0,2.119205298013245,1.7880794701986755,0.04,6.0,0.0,40.4,40.8,15.6,34.7,Deep-Lying Creator,False,False
Pape Matar Sarr,Tottenham Hotspur,Premier League,SEN,MF,23.0,24,1357,2,3,5,0.1324503311258278,0.1986754966887417,0.3311258278145695,1.1258278145695364,0.3973509933774835,0.0662251655629139,0.5298013245033113,0.8609271523178809,0.12,3.0,0.0,48.7,47.9,58.8,44.9,Deep-Lying Creator,False,False
Ellyes Skhiri,Eintracht Frankfurt,Bundesliga,TUN,MF,31.0,24,1354,0,0,0,0.0,0.0,0.0,0.5333333333333333,0.0,0.1333333333333333,0.2,0.8666666666666667,0.0,3.0,1.0,4.1,8.0,83.3,12.9,Deep-Lying Creator,False,False
Stefan Posch,Mainz 05,Bundesliga,AUT,DF,28.0,15,1350,0,0,0,0.0,0.0,0.0,0.7333333333333333,0.2,0.1333333333333333,0.7333333333333333,0.8,0.0,4.0,0.0,36.0,42.8,72.6,58.4,Defensive Anchor,False,False
Lewis Ferguson,Bologna,Serie A,SCO,MF,26.0,24,1341,1,0,1,0.0671140939597315,0.0,0.0671140939597315,0.87248322147651,0.1342281879194631,0.0671140939597315,1.6778523489932886,1.74496644295302,0.08,7.0,1.0,23.8,25.7,46.3,24.6,Deep-Lying Creator,False,False
Nahuel Molina,Atlético Madrid,La Liga,ARG,DF,28.0,26,1331,2,2,4,0.1351351351351351,0.1351351351351351,0.2702702702702702,0.945945945945946,0.2702702702702702,0.0675675675675675,3.3108108108108105,0.3378378378378378,0.14,4.0,0.0,89.0,87.0,29.4,40.1,Overlapping Fullback,False,False
Valentino Livramento,Newcastle United,Premier League,ENG,DF,23.0,17,1328,0,1,1,0.0,0.0675675675675675,0.0675675675675675,0.2027027027027027,0.0,0.0,2.4324324324324325,1.081081081081081,0.0,1.0,0.0,14.6,75.0,43.6,38.5,Overlapping Fullback,False,False
Denzel Dumfries,Inter,Serie A,NED,MF,30.0,20,1325,3,1,4,0.2040816326530612,0.0680272108843537,0.272108843537415,1.5646258503401362,0.3401360544217687,0.0,2.312925170068027,0.8843537414965987,0.13,2.0,0.0,57.9,38.9,31.8,40.7,Deep-Lying Creator,False,False
Raphinha,Barcelona,La Liga,BRA,MF,29.0,21,1318,11,3,14,0.7534246575342466,0.2054794520547945,0.9589041095890412,4.452054794520548,1.6438356164383563,0.0,4.931506849315069,0.684931506849315,0.15,5.0,0.0,95.2,75.4,18.4,84.0,Winger,False,True
Antonee Robinson,Fulham,Premier League,USA,DF,28.0,20,1312,0,0,0,0.0,0.0,0.0,0.4109589041095891,0.0684931506849315,0.136986301369863,5.273972602739726,0.6164383561643836,0.0,5.0,0.0,23.6,59.4,65.8,53.4,Overlapping Fullback,False,False
Nicolás Tagliafico,Lyon,Ligue 1,ARG,DF,33.0,20,1310,0,3,3,0.0,0.2054794520547945,0.2054794520547945,1.0273972602739727,0.0684931506849315,0.0684931506849315,1.36986301369863,2.26027397260274,0.0,5.0,2.0,48.5,82.2,46.6,45.8,Defensive Anchor,False,False
Saud Abdulhamid,Lens,Ligue 1,KSA,MF,26.0,24,1307,2,4,6,0.1379310344827586,0.2758620689655172,0.4137931034482758,0.5517241379310345,0.2068965517241379,0.0,3.2413793103448274,0.9655172413793104,0.25,4.0,1.0,50.7,71.9,22.0,54.0,Winger,False,False
Mamadou Sarr,Strasbourg,Ligue 1,SEN,DF,20.0,15,1305,0,0,0,0.0,0.0,0.0,0.0689655172413793,0.0,0.0,0.0,0.7586206896551724,0.0,3.0,0.0,12.8,13.2,34.0,26.1,Defensive Anchor,False,False
Joško Gvardiol,Manchester City,Premier League,CRO,DF,24.0,16,1302,2,2,4,0.1379310344827586,0.1379310344827586,0.2758620689655172,1.1724137931034482,0.4137931034482758,0.0689655172413793,0.1379310344827586,0.4827586206896552,0.12,2.0,0.0,92.6,56.2,41.8,75.0,Defensive Anchor,True,True
Donyell Malen,Roma,Serie A,NED,FW,27.0,16,1302,13,2,15,0.896551724137931,0.1379310344827586,1.0344827586206895,4.827586206896552,2.1379310344827585,0.0,0.4137931034482758,1.1724137931034482,0.16,1.0,0.0,85.0,55.1,34.4,70.7,Winger,False,False
Mathías Olivera,Napoli,Serie A,URU,DF,28.0,23,1293,0,0,0,0.0,0.0,0.0,0.5555555555555556,0.2083333333333333,0.0694444444444444,0.4166666666666666,0.6944444444444444,0.0,3.0,0.0,29.6,35.9,45.0,37.9,Defensive Anchor,False,False
Anthony Elanga,Newcastle United,Premier League,SWE,FW,24.0,30,1288,0,1,1,0.0,0.0699300699300699,0.0699300699300699,1.1888111888111887,0.2797202797202797,0.0,5.804195804195804,1.748251748251748,0.0,0.0,0.0,2.1,32.6,48.9,8.2,Winger,False,False
Martin Ødegaard,Arsenal,Premier League,NOR,MF,27.0,23,1280,1,6,7,0.0704225352112676,0.4225352112676057,0.4929577464788732,1.5492957746478877,0.5633802816901409,0.0,1.5492957746478877,0.6338028169014085,0.05,0.0,0.0,34.1,65.4,38.2,82.0,Advanced Playmaker,False,True
Maxim De Cuyper,Brighton,Premier League,BEL,DF,25.0,28,1280,2,3,5,0.1408450704225352,0.2112676056338028,0.352112676056338,0.9154929577464788,0.4225352112676057,0.0704225352112676,5.422535211267606,1.4788732394366195,0.15,2.0,0.0,89.1,95.3,58.1,60.2,Overlapping Fullback,False,False
Hwang Hee-chan,Wolves,Premier League,KOR,FW,30.0,24,1278,2,1,3,0.1408450704225352,0.0704225352112676,0.2112676056338028,1.3380281690140845,0.4225352112676057,0.0704225352112676,1.3380281690140845,1.267605633802817,0.05,5.0,0.0,7.2,28.6,70.6,12.3,Target Forward,False,False
Facundo Medina,Marseille,Ligue 1,ARG,DF,26.0,16,1275,0,1,1,0.0,0.0704225352112676,0.0704225352112676,0.2816901408450704,0.0704225352112676,0.1408450704225352,0.9154929577464788,0.6338028169014085,0.0,7.0,0.0,17.8,65.9,61.8,50.3,Defensive Anchor,False,False
Alexander Prass,Hoffenheim,Bundesliga,AUT,MF,24.0,31,1272,3,2,5,0.2127659574468085,0.1418439716312056,0.3546099290780142,1.2765957446808511,0.7801418439716312,0.0,3.333333333333333,1.4893617021276595,0.17,4.0,0.0,75.3,63.0,22.0,57.2,Winger,False,False
Désiré Doué,Paris Saint-Germain,Ligue 1,FRA,FW,20.0,22,1258,7,3,10,0.5,0.2142857142857142,0.7142857142857143,3.928571428571429,1.3571428571428572,0.0714285714285714,4.0,2.0,0.13,0.0,0.0,53.5,71.2,87.8,52.3,Winger,True,True
Nuno Mendes,Paris Saint-Germain,Ligue 1,POR,DF,23.0,20,1256,4,5,9,0.2857142857142857,0.3571428571428571,0.6428571428571429,2.142857142857143,1.0714285714285714,0.0714285714285714,3.142857142857143,1.7857142857142858,0.1,1.0,0.0,99.6,94.9,61.5,74.0,Overlapping Fullback,True,True
Abdukodir Khusanov,Manchester City,Premier League,UZB,DF,22.0,19,1252,0,0,0,0.0,0.0,0.0,0.5035971223021583,0.0719424460431654,0.1438848920863309,0.2158273381294964,0.4316546762589928,0.0,2.0,0.0,27.9,29.0,72.9,55.8,Defensive Anchor,False,False
Giovani Lo Celso,Real Betis,La Liga,ARG,MF,30.0,21,1249,2,3,5,0.1438848920863309,0.2158273381294964,0.3597122302158273,2.158273381294964,0.7913669064748201,0.0,4.388489208633094,3.021582733812949,0.07,4.0,0.0,52.7,78.1,22.0,57.4,Winger,False,False
Nabil Bentaleb,Lille,Ligue 1,ALG,MF,31.0,25,1242,2,2,4,0.144927536231884,0.144927536231884,0.2898550724637681,1.3043478260869563,0.4347826086956521,0.072463768115942,1.7391304347826086,1.3043478260869563,0.06,3.0,0.0,41.3,50.6,63.0,43.9,Deep-Lying Creator,False,False
Juan Rodríguez,Cagliari,Serie A,URU,DF,20.0,15,1240,0,0,0,0.0,0.0,0.0,0.217391304347826,0.144927536231884,0.072463768115942,0.3623188405797101,0.5797101449275363,0.33,3.0,0.0,14.9,33.7,44.8,35.4,Defensive Anchor,False,False
Jean-Ricner Bellegarde,Wolves,Premier League,HAI,MF,27.0,25,1236,1,1,2,0.072992700729927,0.072992700729927,0.145985401459854,1.5328467153284673,0.5109489051094891,0.0,1.8248175182481752,2.9927007299270074,0.05,5.0,0.0,33.1,41.0,18.4,32.5,Deep-Lying Creator,False,False
Amine Gouiri,Marseille,Ligue 1,ALG,FW,26.0,21,1236,7,3,10,0.5109489051094891,0.218978102189781,0.7299270072992701,2.7737226277372264,1.2408759124087592,0.0,2.7007299270072997,1.1678832116788322,0.21,1.0,0.0,54.4,71.0,33.9,50.4,Winger,False,False
Gonçalo Ramos,Paris Saint-Germain,Ligue 1,POR,FW,24.0,28,1235,6,1,7,0.437956204379562,0.072992700729927,0.5109489051094891,4.233576642335767,1.8248175182481752,0.0,0.072992700729927,1.6788321167883211,0.09,4.0,1.0,52.6,24.9,47.8,43.5,Target Forward,False,False
Kevin Danso,Tottenham Hotspur,Premier League,AUT,DF,27.0,21,1224,0,0,0,0.0,0.0,0.0,0.8088235294117647,0.1470588235294117,0.1470588235294117,0.5147058823529412,0.9558823529411764,0.0,8.0,0.0,40.7,38.0,65.8,53.4,Defensive Anchor,False,False
