Player,Squad,League,Nation,Primary_Pos,Age_Years,MP,Min,Gls,Ast,G+A,Gls_p90,Ast_p90,GA_p90,Sh_p90,SoT_p90,Int_p90,Crs_p90,Fld_p90,G_Sh,CrdY,CrdR,Attacker_Index,Creator_Index,Defensive_Index,Overall_Index,Archetype_V2,Hidden_Gem,WC_Watchlist_V2
Francisco Conceição,Juventus,Serie A,POR,MF,23.0,29,1941,3,4,7,0.1388888888888888,0.1851851851851851,0.324074074074074,3.3796296296296293,1.0648148148148149,0.0,4.259259259259259,1.851851851851852,0.04,3.0,0.0,51.1,68.7,26.6,55.4,Winger,False,False
Denis Zakaria,Monaco,Ligue 1,SUI,DF,29.0,23,1941,2,1,3,0.0925925925925925,0.0462962962962962,0.1388888888888888,0.8333333333333333,0.1388888888888888,0.1851851851851851,0.5092592592592592,0.324074074074074,0.11,4.0,1.0,75.4,53.6,67.3,63.7,Ball-Winning Defender,False,False
Djed Spence,Tottenham Hotspur,Premier League,ENG,DF,25.0,27,1937,0,0,0,0.0,0.0,0.0,0.6046511627906976,0.3720930232558139,0.0465116279069767,2.2790697674418605,0.9767441860465116,0.0,4.0,0.0,31.7,52.5,36.1,35.2,Overlapping Fullback,False,False
Jonathan Tah,Bayern Munich,Bundesliga,GER,DF,30.0,27,1928,2,1,3,0.0934579439252336,0.0467289719626168,0.1401869158878504,0.3738317757009346,0.2336448598130841,0.0934579439252336,0.0467289719626168,0.2803738317757009,0.25,7.0,0.0,40.0,34.4,34.1,76.0,Defensive Anchor,False,True
Pape Gueye,Villarreal,La Liga,SEN,MF,27.0,27,1927,4,2,6,0.1869158878504673,0.0934579439252336,0.2803738317757009,2.196261682242991,0.6074766355140188,0.1401869158878504,0.6542056074766356,2.5233644859813085,0.09,8.0,0.0,57.8,44.7,68.3,49.0,Deep-Lying Creator,False,False
Reece James,Chelsea,Premier League,ENG,DF,26.0,28,1924,2,4,6,0.0934579439252336,0.1869158878504673,0.2803738317757009,1.0280373831775702,0.3271028037383178,0.1401869158878504,5.88785046728972,1.0280373831775702,0.09,4.0,0.0,82.7,94.9,77.3,77.0,Overlapping Fullback,False,True
Djibril Sow,Sevilla,La Liga,SUI,MF,29.0,30,1922,5,3,8,0.2336448598130841,0.1401869158878504,0.3738317757009346,0.8878504672897197,0.3738317757009346,0.0934579439252336,1.0280373831775702,1.355140186915888,0.26,6.0,0.0,68.8,51.2,63.7,55.6,Deep-Lying Creator,False,False
Iñaki Williams,Athletic Club,La Liga,GHA,MF,31.0,27,1920,2,4,6,0.0938967136150234,0.1877934272300469,0.2816901408450704,2.676056338028169,0.9389671361502347,0.0,3.1455399061032865,1.07981220657277,0.04,2.0,0.0,44.7,58.8,31.8,48.5,Winger,False,False
Yasin Ayari,Brighton,Premier League,SWE,MF,22.0,28,1920,3,3,6,0.1408450704225352,0.1408450704225352,0.2816901408450704,1.9248826291079808,0.4694835680751174,0.0938967136150234,1.1267605633802815,1.3145539906103283,0.07,1.0,0.0,43.9,47.0,84.5,47.1,Deep-Lying Creator,False,False
Willian Pacho,Paris Saint-Germain,Ligue 1,ECU,DF,24.0,23,1914,0,0,0,0.0,0.0,0.0,0.3755868544600939,0.0469483568075117,0.0938967136150234,0.0,0.3286384976525821,0.0,0.0,0.0,22.1,13.2,55.7,44.0,Defensive Anchor,False,False
